x;y;zero_tick
-4;0.0625;
-3.9;0.0669858414085183;
-3.8;0.0717936471873147;
-3.7;0.0769465258340573;
-3.6;0.0824692444233059;
-3.5;0.0883883476483184;
-3.4;0.0947322854068999;
-3.3;0.101531549544529;
-3.2;0.108818820412016;
-3.1;0.116629123942101;
-3;0.125;
-2.9;0.133971682817037;
-2.8;0.143587294374629;
-2.7;0.153893051668115;
-2.6;0.164938488846612;
-2.5;0.176776695296637;
-2.4;0.1894645708138;
-2.3;0.203063099089059;
-2.2;0.217637640824031;
-2.1;0.233258247884202;
-2;0.25;
-1.9;0.267943365634073;
-1.8;0.287174588749259;
-1.7;0.307786103336229;
-1.6;0.329876977693224;
-1.5;0.353553390593274;
-1.4;0.3789291416276;
-1.3;0.406126198178118;
-1.2;0.435275281648062;
-1.1;0.466516495768404;
-1;0.5;
-0.9;0.535886731268147;
-0.8;0.574349177498518;
-0.7;0.615572206672458;
-0.6;0.659753955386447;
-0.5;0.707106781186548;
-0.4;0.757858283255199;
-0.3;0.812252396356236;
-0.2;0.870550563296124;
-0.0999999999999996;0.933032991536808;
0;1;1
0.100000000000001;1.07177346253629;
0.2;1.14869835499704;
0.3;1.23114441334492;
0.4;1.31950791077289;
0.5;1.4142135623731;
0.6;1.5157165665104;
0.7;1.62450479271247;
0.800000000000001;1.74110112659225;
0.9;1.86606598307362;
1;2;
1.1;2.14354692507259;
1.2;2.29739670999407;
1.3;2.46228882668983;
1.4;2.63901582154579;
1.5;2.82842712474619;
1.6;3.0314331330208;
1.7;3.24900958542494;
1.8;3.4822022531845;
1.9;3.73213196614723;
2;4;
2.1;4.28709385014517;
2.2;4.59479341998814;
2.3;4.92457765337967;
2.4;5.27803164309158;
2.5;5.65685424949238;
2.6;6.0628662660416;
2.7;6.49801917084988;
2.8;6.964404506369;
2.9;7.46426393229446;
3;8;
3.1;8.57418770029035;
3.2;9.18958683997628;
3.3;9.84915530675934;
3.4;10.5560632861832;
3.5;11.3137084989848;
3.6;12.1257325320832;
3.7;12.9960383416998;
3.8;13.928809012738;
3.9;14.9285278645889;
4;16;
4.1;17.1483754005807;
4.2;18.3791736799526;
4.3;19.6983106135187;
4.4;21.1121265723663;
4.5;22.6274169979695;
4.6;24.2514650641664;
4.7;25.9920766833996;
4.8;27.857618025476;
4.9;29.8570557291778;
5;32;
5.1;34.2967508011614;
5.2;36.7583473599051;
5.3;39.3966212270373;
5.4;42.2242531447326;
5.5;45.254833995939;
5.6;48.5029301283328;
5.7;51.9841533667991;
5.8;55.715236050952;
