"x","y","mean","median"
0,0,,
0.01,2.97e-07,,
0.02,4.704e-06,,
0.03,2.3571e-05,,
0.04,7.3728e-05,,
0.05,0.000178125,,
0.06,0.000365472,,
0.07,0.000669879000000001,,
0.08,0.001130496,,
0.09,0.001791153,,
0.1,0.0027,,
0.11,0.003909147,,
0.12,0.005474304,,
0.13,0.007454421,,
0.14,0.00991132800000001,,
0.15,0.012909375,,
0.16,0.016515072,,
0.17,0.020796729,,
0.18,0.025824096,,
0.19,0.031668003,,
0.2,0.0384,,
0.21,0.046091997,,
0.22,0.054815904,,
0.23,0.064643271,,
0.24,0.075644928,,
0.25,0.087890625,,
0.26,0.101448672,,
0.27,0.116385579,,
0.28,0.132765696,,
0.29,0.150650853,,
0.3,0.1701,,
0.31,0.191168847,,
0.32,0.213909504,,
0.33,0.238370121,,
0.34,0.264594528,,
0.35,0.292621875,,
0.36,0.322486272,,
0.37,0.354216429,,
0.38,0.387835296,,
0.39,0.423359703,,
0.4,0.4608,,
0.41,0.500159697,,
0.42,0.541435104,,
0.43,0.584614971,,
0.44,0.629680128,,
0.45,0.676603125,,
0.46,0.725347872,,
0.47,0.775869279,,0.775869279
0.48,0.828112896,,
0.49,0.882014553,,
0.5,0.9375,,
0.51,0.994484547,0.9898515,
0.52,1.052872704,,
0.53,1.112557821,,
0.54,1.173421728,,
0.55,1.235334375,,
0.56,1.298153472,,
0.57,1.361724129,,
0.58,1.425878496,,
0.59,1.490435403,,
0.6,1.5552,,
0.61,1.619963397,,
0.62,1.684502304,,
0.63,1.748578671,,
0.64,1.811939328,,
0.65,1.874315625,,
0.66,1.935423072,,
0.67,1.994960979,,
0.68,2.052612096,,
0.69,2.108042253,,
0.7,2.1609,,
0.71,2.210816247,,
0.72,2.257403904,,
0.73,2.300257521,,
0.74,2.338952928,,
0.75,2.373046875,,
0.76,2.402076672,,
0.77,2.425559829,,
0.78,2.442993696,,
0.79,2.453855103,,
0.8,2.4576,,
0.81,2.453663097,,
0.82,2.441457504,,
0.83,2.420374371,,
0.84,2.389782528,,
0.85,2.349028125,,
0.86,2.297434272,,
0.87,2.234300679,,
0.88,2.158903296,,
0.89,2.070493953,,
0.9,1.9683,,
0.91,1.851523947,,
0.92,1.719343104,,
0.93,1.570909221,,
0.94,1.405348128,,
0.95,1.221759375,,
0.96,1.019215872,,
0.97,0.796763529000001,,
0.98,0.553420896,,
0.99,0.288178803,,
1,0,,
